0,1,2,3,4,5,6,7
< 최근 3년간(2021~2023) 발생장소별 내연기관 차량 화재 현황 >,,,,,,,
,,,,,,,
구분,계,일반도로,고속도로,기타도로,주차장,공지,터널
계,"10,933","5,266","2,161",531,"2,024",887,64
2021,"3,517","1,734",685,178,634,271,15
2022,"3,680","1,739",727,181,700,307,26
2023,"3,736",1793,749,172,690,309,23
