year,ev_cumulative,source,source_url,notes
2021,231443,국회도서관 Data&Law(2024-09-25) - '데이터로 보는 전기자동차' (MOLIT 자료 인용),https://argos.nanet.go.kr/lawstat/arc/attach/112495?view=1,연말 기준 누적 등록 대수
2022,389855,국회도서관 Data&Law(2024-09-25) - '데이터로 보는 전기자동차' (MOLIT 자료 인용),https://argos.nanet.go.kr/lawstat/arc/attach/112495?view=1,연말 기준 누적 등록 대수
2023,543900,국회도서관 Data&Law(2024-09-25) - '데이터로 보는 전기자동차' (MOLIT 자료 인용),https://argos.nanet.go.kr/lawstat/arc/attach/112495?view=1,연말 기준 누적 등록 대수
