ID,연료,2021,2022,2023
1,CNG,57,49,48
2,LPG,7379,7257,6851
3,경유,35863,36044,34975
4,기타연료,353,383,380
5,수소,96,119,122
6,전기,557,1073,1700
7,하이브리드,3493,4599,5731
8,휘발유,48924,51259,51415
9,계,96722,100783,101222
