제조사,모델명
현대자동차,KV3
현대자동차,G80
현대자동차,GV70
현대자동차,GV80
현대자동차,디올뉴코나
현대자동차,블루온
현대자동차,쏘나타 PHEV
현대자동차,아이오닉(~16년형)
현대자동차,아이오닉(17년~20년형)
현대자동차,아이오닉5
현대자동차,아이오닉6
현대자동차,코나EV(~22년형)
현대자동차,코나EV(23년형~)
현대자동차,포터 EV
기아자동차,EV6
기아자동차,EV9
기아자동차,니로 EV(~22년형)
기아자동차,니로 EV(24년형~) 
기아자동차,니로 PHEV
기아자동차,니로 플러스
기아자동차,레이 EV
기아자동차,봉고 EV
기아자동차,쏘렌토 하이브리드
기아자동차,쏘울
르노코리아,SM3
르노코리아,ZOE
르노코리아,르노 삼성 트위지
쉐보레,볼트 EUV
쉐보레,볼트 EV
쉐보레,볼트_PHEV
쉐보레,스파크
닛산,닛산 리프
벤츠,벤츠 E300e
벤츠,벤츠 EQB
벤츠,벤츠 EQC
벤츠,벤츠 EQE 
벤츠,벤츠 EQE SUV
벤츠,벤츠 EQS
벤츠,벤츠 EQS SUV
벤츠,벤츠 EQV
벤츠,벤츠 GLC e
벤츠,벤츠 GLC PHEV
벤츠,벤츠 GLE e
벤츠,벤츠 S580e
BMW,BMW 330e PHEV
BMW,BMW 530E
BMW,BMW 530e PHEV
BMW,BMW 7 PHEV
BMW,BMW i3
BMW,BMW i4
BMW,BMW i5
BMW,BMW i7
BMW,BMW i8
BMW,BMW iX3
BMW,BMW iX40
BMW,BMW iX50
BMW,BMW X3e
BMW,BMW X5e
BMW,BMW XM
BMW,BMW-iX1
BMW,미니쿠퍼 일렉트릭
BYD,BYD T4K
포르쉐,포르쉐 파나메라 4E PHEV
포르쉐,포르쉐-카이엔s PHEV
폭스바겐,폭스바겐ID.4
폴스타,폴스타2
렉서스,렉서스 NX450h
렉서스,렉서스 RX450h 플러스
렉서스,렉서스 UX300e
링컨,링컨 에비에이터(PHEV)
벤틀리,벤테이가 PHEV
볼보,볼보 C40 리차지
볼보,볼보 S90 PHEV
볼보,볼보 XC40 리차지
볼보,볼보 XC90 PHEV
아우디,아우디 Q4 e-트론
테슬라,테슬라 모델 3
테슬라,테슬라 모델 S
테슬라,테슬라 모델 X
테슬라,테슬라 모델 Y
토요타,토레스 EVX
토요타,토요타 RAV4
토요타,토요타 프리우스 프라임(PHEV)
재규어,재규어 I-페이스
푸조,푸조 e2008
Jeep,Jeep 랭글러 4xe
CEVO 모빌리티,캠시스 CEVO-C
Evion,E6
MaiV(마이브),마이브 M1
MASADA(마사다),마사다 밴
SE-A(세아),세아2밴
SMART EV,EV Z
대창모터스,다니고
디피코,디피코 POTRO
마이크로리노,리노
명원아이앤씨(오토바이),FLETA LS1
비바모빌리티,비바모빌리티 VBUS 60
에스에스 라이트,젤라(ZELLA) EV
제이스 모빌리티,이티밴
파워프라자,피스
한신자동차,플러스2.0카고
기타,기타
기아자동차,EV
기타,롤스로이스 스펙터
현대자동차,GV60
KGM,토레스EVX
