0,1,2,3,4,5
< 최근 3년간(2021~2023) 전기차 화재 현황 >,,,,,
,,,,,
구분,화재(건),인명피해(명),"재산피해
(천원)",,
계,사망,부상,,,
계,139,13,0,13,3255432
2021년,24,1,0,1,"878,084"
2022년,43,3,0,3,"913,362"
2023년,72,9,0,9,"1,463,986"
