ID,연료,2021,2022,2023,source_url
1,EV,231443,389855,543900,https://argos.nanet.go.kr/lawstat/arc/attach/112495?view=1
2,ICE,24678557,25113145,25405100,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95086498&lcmspage=1
3,총계,24910000,25503000,25949000,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95086498&lcmspage=1
